ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,turbo_flag_n,Mileage_avg,Levy_avg
45654403,13328,1399.0,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005.0,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,non_turbo,238692.83615819208,1542.8813559322034
44731507,16621,1018.0,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3.0,192000.0,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8,non_turbo,134871.0625,795.3125
45774419,8467,0.0,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000.0,4.0,Variator,Front,04-May,Right-hand drive,Black,2,non_turbo,518585.46153846156,0.0
45769185,3607,862.0,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966.0,4.0,Automatic,4x4,04-May,Left wheel,White,0,non_turbo,155819.14814814815,866.0370370370371
45809263,11726,446.0,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901.0,4.0,Automatic,Front,04-May,Left wheel,Silver,4,non_turbo,101361.44897959183,625.5714285714286
45802912,39493,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,160931.0,4.0,Automatic,Front,04-May,Left wheel,White,4,non_turbo,109803.82587064676,870.094527363184
45656768,1803,761.0,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909.0,4.0,Automatic,Front,04-May,Left wheel,White,12,non_turbo,197688.4927536232,496.4347826086956
45816158,549,751.0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118.0,4.0,Automatic,Front,04-May,Left wheel,Grey,12,non_turbo,125582.03827751197,542.3301435406698
45641395,1098,394.0,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,300000.0,4.0,Automatic,Front,04-May,Left wheel,Black,12,non_turbo,142555.02310231022,519.6336633663366
45756839,26657,0.0,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500.0,6.0,Automatic,4x4,04-May,Left wheel,Silver,12,non_turbo,143220.0,0.0
45621750,941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467.0,6.0,Automatic,Rear,04-May,Left wheel,White,12,non_turbo,144172.7697368421,939.6315789473684
45814819,8781,0.0,FORD,Transit,1999,Microbus,No,CNG,4.0,212093.81818181818,8.0,Manual,Rear,02-Mar,Left wheel,Blue,0,non_turbo,212093.81818181818,0.0
45815568,3000,0.0,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,300000.0,4.0,Manual,Front,04-May,Left wheel,White,4,non_turbo,429444.4285714286,0.0
45661288,1019,1055.0,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038.0,6.0,Automatic,Front,04-May,Left wheel,White,12,non_turbo,187014.28169014084,1145.9014084507041
45732604,59464,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,76000.0,4.0,Automatic,Front,04-May,Left wheel,White,4,non_turbo,109803.82587064676,870.094527363184
45465200,549,1079.0,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2.0,74146.0,4.0,Automatic,Front,04-May,Left wheel,White,12,non_turbo,35132.67857142857,988.7857142857143
45772281,7683,810.0,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840.0,4.0,Automatic,Front,04-May,Left wheel,Blue,12,non_turbo,194482.34897360703,829.6422287390029
45797221,28382,810.0,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317.0,4.0,Automatic,Front,04-May,Left wheel,White,4,non_turbo,194482.34897360703,829.6422287390029
45772104,549,2386.0,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059.0,6.0,Automatic,Rear,04-May,Left wheel,Blue,12,non_turbo,269129.5,1193.0
45653306,941,1850.0,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,300000.0,6.0,Automatic,4x4,04-May,Left wheel,Black,12,non_turbo,232389.44303797468,1917.6582278481012
45801686,18826,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645.0,4.0,Automatic,Front,04-May,Left wheel,Silver,4,non_turbo,146380.4312267658,556.7806691449814
45168471,20698,586.0,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000.0,4.0,Automatic,Front,04-May,Left wheel,White,12,non_turbo,168805.61937716263,623.840830449827
45751951,17562,1249.0,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709.0,4.0,Automatic,Front,04-May,Left wheel,Black,12,non_turbo,78650.84057971014,1076.8695652173913
45814106,7840,363.27272727272725,FORD,Transit,2001,Microbus,No,Diesel,2.0,230000.0,4.0,Manual,Front,02-Mar,Left wheel,White,0,Turbo,183036.9090909091,363.27272727272725
